ID   mag     meanRA  meanDE  stdRA   stdDE   num     std_all     pmRA    pmDE
1219264185098242944   17.6157      0.0221      -0.0447      0.4137       0.3865    63        0.5661       0.811     -12.710
1219268956805255808   17.8871      0.0309      -0.0409      0.4380       0.4184    31        0.6058      -2.156      -0.033
1219268823662932480   17.9023     -0.0252      -0.0501      0.3682       0.4299    46        0.5661      -4.173      -3.651
1219268338329946240   17.8732      0.0705       0.0381      0.3946       0.3567    38        0.5319     -12.542     -23.554
1219263459247064960   18.2104      0.1376       0.0106      0.4280       0.3769    21        0.5703      -1.229      -4.764
1219263665405499136   18.4276      0.3431       0.0589      0.1458       0.3988    4        0.4247       1.839     -13.457
1219264700494316416   17.7645      0.1610      -0.0581      0.2925       0.5582    18        0.6302       0.720       3.763
1219261711197012736   15.8188     -0.0142       0.0236      0.0685       0.0719    159        0.0993      -9.141     -23.297
1219264356896935040   17.9324      0.0962      -0.1160      0.4124       0.3605    17        0.5478      -1.752      -1.252
1219267685494906368   18.7691     -0.0071       0.0688      0.3453       0.5665    4        0.6634     -13.096      -3.742
1219263115649670272   18.3888     -0.0641      -0.4223      0.6081       0.4987    8        0.7864      -1.759       5.512
1219263429184001664   17.923     -0.1276       0.0621      0.5174       0.4274    31        0.6711      -8.106      13.092
1219266521560391680   17.4014     -0.0064       0.0286      0.2747       0.3168    130        0.4193      -1.120      -0.717
1219264661837920384   18.0345      0.1821       0.0070      0.4651       0.5240    12        0.7006      -2.911      14.820
1219266555920288256   18.2223     -0.1322       0.0793      0.4917       0.5105    23        0.7088      -4.456      -6.993
1219268407049426688   18.0836      0.1298       0.3159      0.3874       0.6339    15        0.7429      -7.660      -6.638
1219265834365773696   17.8046      0.0143       0.0094      0.3876       0.4226    35        0.5734      -2.693      -5.534
1219250509922362240   16.7543      0.0223       0.0320      0.1490       0.1409    144        0.2051       6.606      -0.241
1219267105676020096   17.2571     -0.2716      -0.1337      0.2938       0.3489    22        0.4562     -10.919       3.027
1219269029821363072   18.2798     -0.1516       0.3943      0.4819       0.4059    3        0.6301      -7.626      -6.934
1219262325375682048   18.2065     -0.0832       0.1965      0.5437       0.3721    16        0.6589       0.043      -2.042
1219266521560391808   14.0725     -0.0034      -0.0028      0.0185       0.0203    121        0.0275     -21.650      -7.967
1219261711197012864   18.2595      0.2378      -0.2793      0.5837       0.5605    7        0.8092       5.666      -4.452
1219250406843243776   17.8039      0.0529      -0.0682      0.3858       0.3842    38        0.5445      -4.974      -0.742
1219263115649673728   18.2967     -0.0606       0.1076      0.5701       0.4328    12        0.7158       1.759      -9.575
1219267376257262720   18.3183      0.1036      -0.1327      0.5292       0.3647    15        0.6427      -8.904       5.685
