20110228GSC2038.0293_2-187R.fit    17    2011    2         28        22        57        53.0      40.0      
20110228GSC2038.0293_2-184R.fit    25    2011    2         28        22        55        21.0      40.0      
 1219268823662931840    638.54866    389.10820           240.70020197816           +25.34382258648    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408    125.83172    1892.5336           240.80560512693           +25.20283748343    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152    844.31659    1932.8573           240.72477853756           +25.17845620545    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456    1703.4040    1811.0238           240.62288194116           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832    1589.9106    395.23288           240.59161467777           +25.31631607683    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848    1733.5559    138.60899           240.56716352578           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219263978939807232    477.39320    1484.8175           240.75275609624           +25.23509088004    13.1832     -1.267     -13.310         2.5376         -19.25
 1219261951715181696    1585.0728    1926.9006           240.64000739921           +25.15817347667    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264    1421.6848    883.64928           240.62610880126           +25.27059645440    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944    277.98717    872.80787           240.75650606547           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720    1723.5901    141.16771           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016    103.72844    259.24886           240.75734756239           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704    364.68064    864.44669           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352    1023.7525    492.26383           240.65938003591           +25.32227196487    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768    352.17332    81.150031           240.72337037966           +25.38370017828    15.4733     -25.243      5.647         1.7637           0.00
 1219262089154135424    1349.8248    1740.0483           240.66103305102           +25.18414411619    15.9929      1.519     -8.333         0.1069           0.00
 1219265696926734976    392.67142    683.40249           240.73750118284           +25.32034806585    15.6873     -6.113     -15.101         0.9394           0.00
 1219267999029221888    1973.8048    196.93992           240.54153482004           +25.32592958514    15.9037      1.886     -3.146         0.5444           0.00
 1219266212322743936    1841.1867    1075.5547           240.58420347989           +25.23889989206    15.9203      3.971     -20.883         2.5940           0.00
 1219263875860592384    567.07762    1505.8077           240.74317170543           +25.23041481588    16.0765      6.359     -7.994         0.4218           0.00
 1219262089154135552    1476.4177    1765.3993           240.64737879432           +25.17791903982    16.1600     -15.109     -1.267         0.7930           0.00
 1219262192233349120    1223.1466    1926.5110           240.68135059114           +25.16839142759    16.5086     -3.149     -11.277         0.3204           0.00
 1219262982508309632    1606.6469    1445.0469           240.62245545691           +25.20735840375    16.5311     -2.512     -6.224         0.3483           0.00
 1219262398391843200    997.56944    1749.7910           240.70158115827           +25.19304203281    16.2212      4.565     -3.769         1.0452           0.00
 1219261917355443840    1754.1514    1930.5316           240.62083703168           +25.15307876959    16.7769     -0.357     -5.752         0.3402           0.00
20110228GSC2038.0293_2-183R.fit    28    2011    2         28        22        54        31.0      40.0      
 1219268823662931840    636.69119    388.47398           240.70020197827           +25.34382258650    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408    124.06082    1892.0513           240.80560512693           +25.20283748344    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152    842.54415    1932.4162           240.72477853756           +25.17845620546    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456    1701.6801    1810.7022           240.62288194117           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832    1588.0974    394.58958           240.59161467779           +25.31631607684    12.7308     -41.651     -12.381         2.6172         -58.14
 1219263978939807232    475.63997    1484.4074           240.75275609624           +25.23509088005    13.1832     -1.267     -13.310         2.5376         -19.25
 1219268136468174848    1731.7547    138.04056           240.56716352578           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219261951715181696    1583.3659    1926.5170           240.64000739921           +25.15817347668    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264    1419.8769    883.17224           240.62610880126           +25.27059645441    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944    276.16905    872.30581           240.75650606548           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720    1721.9439    140.64541           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016    101.79655    258.67082           240.75734756239           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704    362.93141    863.96666           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352    1021.9339    491.96975           240.65938003591           +25.32227196487    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768    350.39827    80.882110           240.72337037967           +25.38370017828    15.4733     -25.243      5.647         1.7637           0.00
 1219267999029221888    1971.9045    196.43047           240.54153482004           +25.32592958514    15.9037      1.886     -3.146         0.5444           0.00
 1219262535830888192    1295.6684    1594.1454           240.66248570878           +25.20061736163    16.3048      2.295     -5.757         0.6975           0.00
 1219265696926734976    390.43518    682.37099           240.73750118284           +25.32034806586    15.6873     -6.113     -15.101         0.9394           0.00
 1219265147170920832    747.01832    937.24906           240.70471662667           +25.28395572038    15.8638     -2.901     -6.105         0.3800           0.00
 1219263875860592384    565.22533    1505.3185           240.74317170543           +25.23041481588    16.0765      6.359     -7.994         0.4218           0.00
 1219262089154135424    1347.7728    1739.1322           240.66103305102           +25.18414411619    15.9929      1.519     -8.333         0.1069           0.00
 1219264769213794944    258.76770    947.68562           240.76085674372           +25.29668582692    15.9448      2.738      0.096         1.5177           0.00
 1219262398391843200    996.21769    1749.3212           240.70158115826           +25.19304203281    16.2212      4.565     -3.769         1.0452           0.00
 1219262089154135552    1474.7160    1765.2306           240.64737879433           +25.17791903982    16.1600     -15.109     -1.267         0.7930           0.00
 1219262192233349120    1221.3891    1926.4282           240.68135059114           +25.16839142759    16.5086     -3.149     -11.277         0.3204           0.00
 1219262982508309632    1605.6816    1444.0223           240.62245545691           +25.20735840375    16.5311     -2.512     -6.224         0.3483           0.00
 1219251953031372800    287.40954    1892.9184           240.78695341636           +25.19813177008    17.0405      3.271     -12.611         0.6437           0.00
 1219263532263218176    1201.0851    1152.5521           240.65946766341           +25.24892321841    16.9608     -57.840     -50.738         0.9592           0.00
20110228GSC2038.0293_2-182R.fit    29    2011    2         28        22        53        40.0      40.0      
 1219268823662931840    634.53986    387.84963           240.70020197837           +25.34382258652    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408    121.82607    1891.2566           240.80560512693           +25.20283748345    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152    840.30965    1931.5018           240.72477853756           +25.17845620547    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456    1699.4080    1809.8103           240.62288194118           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832    1585.9353    394.00309           240.59161467781           +25.31631607684    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848    1729.5695    137.41186           240.56716352577           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219263978939807232    473.37278    1483.5329           240.75275609624           +25.23509088005    13.1832     -1.267     -13.310         2.5376         -19.25
 1219261951715181696    1581.0819    1925.6210           240.64000739920           +25.15817347669    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264    1417.6458    882.39188           240.62610880126           +25.27059645441    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944    273.92612    871.64248           240.75650606549           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720    1719.6297    140.03862           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016    99.558876    258.05963           240.75734756240           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704    360.58142    863.24325           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352    1019.6501    491.10717           240.65938003591           +25.32227196487    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768    348.37217    80.234874           240.72337037968           +25.38370017828    15.4733     -25.243      5.647         1.7637           0.00
 1219267999029221888    1969.8502    195.80688           240.54153482004           +25.32592958514    15.9037      1.886     -3.146         0.5444           0.00
 1219265696926734976    388.46016    682.08595           240.73750118285           +25.32034806587    15.6873     -6.113     -15.101         0.9394           0.00
 1219266212322743936    1836.7873    1074.3616           240.58420347988           +25.23889989208    15.9203      3.971     -20.883         2.5940           0.00
 1219264769213794944    256.33894    947.06721           240.76085674371           +25.29668582692    15.9448      2.738      0.096         1.5177           0.00
 1219262089154135552    1472.3060    1764.2304           240.64737879433           +25.17791903982    16.1600     -15.109     -1.267         0.7930           0.00
 1219262089154135424    1345.6821    1738.7793           240.66103305102           +25.18414411619    15.9929      1.519     -8.333         0.1069           0.00
 1219263016867073920    2041.7595    1474.3271           240.57330414468           +25.19179458791    16.1572     -2.608      0.097         0.3688           0.00
 1219262535830888192    1293.2026    1593.4852           240.66248570878           +25.20061736163    16.3048      2.295     -5.757         0.6975           0.00
 1219262398391843200    993.27041    1748.6146           240.70158115826           +25.19304203281    16.2212      4.565     -3.769         1.0452           0.00
 1219252262269020800    279.77096    1592.4399           240.77825312036           +25.22923529261    16.4940      7.433      9.295         1.3830           0.00
 1219262982508309632    1602.5758    1443.6880           240.62245545691           +25.20735840376    16.5311     -2.512     -6.224         0.3483           0.00
 1219263875860592384    562.83504    1504.3040           240.74317170542           +25.23041481588    16.0765      6.359     -7.994         0.4218           0.00
 1219262192233349120    1218.5796    1925.6708           240.68135059114           +25.16839142760    16.5086     -3.149     -11.277         0.3204           0.00
 1219267895950005888    1764.0787    223.94435           240.56600141565           +25.32884629884    16.7965     -11.676     -2.074         0.7728           0.00
20110228GSC2038.0293_2-181R.fit    32    2011    2         28        22        52        50.0      40.0      
 1219268823662931840    634.17649    386.83194           240.70020197848           +25.34382258654    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408    121.48464    1890.2834           240.80560512693           +25.20283748346    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152    839.97230    1930.6485           240.72477853756           +25.17845620549    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456    1699.0617    1808.9270           240.62288194119           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832    1585.5068    393.05051           240.59161467783           +25.31631607685    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848    1729.1068    136.40025           240.56716352577           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219263978939807232    473.06048    1482.6435           240.75275609624           +25.23509088006    13.1832     -1.267     -13.310         2.5376         -19.25
 1219261951715181696    1580.7287    1924.8497           240.64000739920           +25.15817347669    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264    1417.2565    881.48036           240.62610880126           +25.27059645441    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944    273.66983    870.69498           240.75650606549           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720    1719.2341    139.07308           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016    99.310537    257.03001           240.75734756240           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704    360.42005    862.24276           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352    1019.2948    490.28160           240.65938003591           +25.32227196488    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768    347.94690    79.288171           240.72337037970           +25.38370017828    15.4733     -25.243      5.647         1.7637           0.00
 1219265696926734976    388.22578    681.01536           240.73750118285           +25.32034806587    15.6873     -6.113     -15.101         0.9394           0.00
 1219266212322743936    1836.5229    1073.4762           240.58420347988           +25.23889989209    15.9203      3.971     -20.883         2.5940           0.00
 1219265147170920832    744.66470    936.04342           240.70471662667           +25.28395572038    15.8638     -2.901     -6.105         0.3800           0.00
 1219267999029221888    1969.3428    195.19741           240.54153482004           +25.32592958514    15.9037      1.886     -3.146         0.5444           0.00
 1219262089154135424    1345.4307    1737.7339           240.66103305102           +25.18414411620    15.9929      1.519     -8.333         0.1069           0.00
 1219264769213794944    256.09357    945.97768           240.76085674371           +25.29668582692    15.9448      2.738      0.096         1.5177           0.00
 1219262535830888192    1293.1261    1592.3268           240.66248570878           +25.20061736163    16.3048      2.295     -5.757         0.6975           0.00
 1219263016867073920    2041.5501    1473.1628           240.57330414469           +25.19179458791    16.1572     -2.608      0.097         0.3688           0.00
 1219262089154135552    1471.9178    1763.5391           240.64737879434           +25.17791903982    16.1600     -15.109     -1.267         0.7930           0.00
 1219263875860592384    562.64786    1503.7737           240.74317170542           +25.23041481589    16.0765      6.359     -7.994         0.4218           0.00
 1219262398391843200    993.25786    1747.5523           240.70158115826           +25.19304203281    16.2212      4.565     -3.769         1.0452           0.00
 1219262192233349120    1218.7671    1924.9598           240.68135059115           +25.16839142760    16.5086     -3.149     -11.277         0.3204           0.00
 1219266968237065856    1719.3762    591.41511           240.58252576851           +25.29208869294    16.4311      1.057     -14.090         0.4435           0.00
 1219252262269020800    279.67179    1592.0388           240.77825312036           +25.22923529261    16.4940      7.433      9.295         1.3830           0.00
 1219262982508309632    1602.3516    1443.0297           240.62245545691           +25.20735840376    16.5311     -2.512     -6.224         0.3483           0.00
 1219261917355443840    1749.4399    1928.0428           240.62083703168           +25.15307876960    16.7769     -0.357     -5.752         0.3402           0.00
 1219267895950005888    1763.5389    222.77967           240.56600141565           +25.32884629884    16.7965     -11.676     -2.074         0.7728           0.00
20110228GSC2038.0293_2-180R.fit    37    2011    2         28        22        51        59.0      40.0      
 1219268823662931840    635.11048    385.73884           240.70020197858           +25.34382258656    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408    122.52991    1889.1021           240.80560512693           +25.20283748346    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152    840.97806    1929.3778           240.72477853756           +25.17845620550    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456    1700.1040    1807.7321           240.62288194120           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832    1586.4960    391.91971           240.59161467785           +25.31631607685    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848    1730.1148    135.28665           240.56716352577           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219263978939807232    474.03822    1481.3307           240.75275609624           +25.23509088007    13.1832     -1.267     -13.310         2.5376         -19.25
 1219261951715181696    1581.7569    1923.5998           240.64000739920           +25.15817347670    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264    1418.2617    880.29239           240.62610880126           +25.27059645442    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944    274.58867    869.43892           240.75650606550           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720    1720.3000    137.89049           240.56838584489           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016    100.23326    255.83976           240.75734756240           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704    361.32801    861.16275           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352    1020.3119    489.13260           240.65938003592           +25.32227196488    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768    348.60582    78.119820           240.72337037971           +25.38370017827    15.4733     -25.243      5.647         1.7637           0.00
 1219265696926734976    389.00477    679.80417           240.73750118285           +25.32034806588    15.6873     -6.113     -15.101         0.9394           0.00
 1219267999029221888    1970.5056    193.81698           240.54153482004           +25.32592958514    15.9037      1.886     -3.146         0.5444           0.00
 1219265147170920832    745.43582    934.81928           240.70471662667           +25.28395572038    15.8638     -2.901     -6.105         0.3800           0.00
 1219266212322743936    1837.6334    1072.3514           240.58420347988           +25.23889989210    15.9203      3.971     -20.883         2.5940           0.00
 1219262089154135424    1346.4739    1736.4570           240.66103305102           +25.18414411620    15.9929      1.519     -8.333         0.1069           0.00
 1219264769213794944    257.15937    944.87578           240.76085674371           +25.29668582692    15.9448      2.738      0.096         1.5177           0.00
 1219262398391843200    994.50891    1746.6137           240.70158115826           +25.19304203282    16.2212      4.565     -3.769         1.0452           0.00
 1219262535830888192    1294.1834    1591.1579           240.66248570877           +25.20061736164    16.3048      2.295     -5.757         0.6975           0.00
 1219262089154135552    1473.0179    1762.1582           240.64737879435           +25.17791903982    16.1600     -15.109     -1.267         0.7930           0.00
 1219263875860592384    563.47243    1501.9007           240.74317170542           +25.23041481589    16.0765      6.359     -7.994         0.4218           0.00
 1219263635342517120    1649.2329    1119.3463           240.60717187281           +25.23935468496    16.5835     -14.832      4.627         1.1078           0.00
 1219266968237065856    1720.1004    590.18413           240.58252576851           +25.29208869295    16.4311      1.057     -14.090         0.4435           0.00
 1219262982508309632    1603.8826    1441.1667           240.62245545691           +25.20735840376    16.5311     -2.512     -6.224         0.3483           0.00
 1219265181530659712    734.35701    880.45679           240.70428291143           +25.28983841505    16.3926     -22.892      3.815         0.4320           0.00
 1219252262269020800    280.38354    1590.7650           240.77825312035           +25.22923529260    16.4940      7.433      9.295         1.3830           0.00
 1219262192233349120    1219.7301    1923.4769           240.68135059115           +25.16839142761    16.5086     -3.149     -11.277         0.3204           0.00
 1219267895950005888    1763.8714    222.17673           240.56600141566           +25.32884629884    16.7965     -11.676     -2.074         0.7728           0.00
 1219263360464609920    1503.9004    1320.0865           240.63006641785           +25.22277182328    17.0603     -9.205     -5.089         0.5309           0.00
 1219265868725429888    519.80219    472.60881           240.71610825966           +25.33810822981    16.5675     -4.541     -2.286         0.7579           0.00
 1219267101382125184    1556.0935    420.53070           240.59600290312           +25.31419526809    17.0910      2.553     -7.324         0.5210           0.00
 1219264494335882880    159.97901    1247.1138           240.78129313740           +25.26810154740    16.8255     -6.163     -15.730         0.9446           0.00
 1219251953031372800    285.60789    1890.1030           240.78695341636           +25.19813177009    17.0405      3.271     -12.611         0.6437           0.00
20110228GSC2038.0293_2-179R.fit    38    2011    2         28        22        51        9.0       40.0      
 1219268823662931840    634.12249    384.87593           240.70020197869           +25.34382258657    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408    121.56326    1888.4944           240.80560512693           +25.20283748347    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152    840.00010    1928.6772           240.72477853756           +25.17845620551    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456    1699.0158    1806.8905           240.62288194120           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832    1585.5926    391.05487           240.59161467787           +25.31631607686    12.7308     -41.651     -12.381         2.6172         -58.14
